Brand,Label,Category,Price,Ingredients,Skin_Type,Benefits,Reviews
CeraVe,Hydrating Cleanser,Cleanser,83.1268270843119,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Feels sticky after applying, but hydrates well. - Arjun, Goa"
La Roche-Posay,Effaclar Duo,Treatment,9.658102641324843,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
The Ordinary,Hyaluronic Acid 2% + B5,Serum,97.52022266959952,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Absorbs well but didn't see significant results. - Priya, Bangalore"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,64.06177279499056,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
CeraVe,Moisturizing Cream,Moisturizer,5.0397288306126224,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Lightweight and great for daily use. - Ananya, Chandigarh"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,33.130043657605235,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Feels sticky after applying, but hydrates well. - Arjun, Goa"
La Roche-Posay,Cicaplast Baume B5,Treatment,86.10223782307955,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,72.70735312801003,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","A bit expensive, but worth the money. - Sneha, Kolkata"
Neutrogena,Oil-Free Moisturizer,Moisturizer,97.28128762235065,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
The Inkey List,Salicylic Acid Cleanser,Cleanser,64.70014175628435,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Absorbs well but didn't see significant results. - Priya, Bangalore"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,13.77339070968427,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","A bit expensive, but worth the money. - Sneha, Kolkata"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,39.30758454566491,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Kama Ayurveda,Solution,Exfoliant,91.06863539553852,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","A bit expensive, but worth the money. - Sneha, Kolkata"
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,60.78355325483928,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,87.81711234819753,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
CeraVe,Hydrating Cleanser,Cleanser,28.03077793008159,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Absorbs well but didn't see significant results. - Priya, Bangalore"
La Roche-Posay,Effaclar Duo,Treatment,84.82034527986234,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Kama Ayurveda,Hyaluronic Acid 2% + B5,Serum,78.60668897362032,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Lightweight and great for daily use. - Ananya, Chandigarh"
Himalaya,Hydro Boost Gel Cream,Moisturizer,65.90363359624395,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
CeraVe,Moisturizing Cream,Moisturizer,73.21576075128105,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","A bit expensive, but worth the money. - Sneha, Kolkata"
Mamaearth,BHA Liquid Exfoliant,Exfoliant,27.628161133621685,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Feels sticky after applying, but hydrates well. - Arjun, Goa"
La Roche-Posay,Cicaplast Baume B5,Treatment,77.64190042310021,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Lightweight and great for daily use. - Ananya, Chandigarh"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,97.68704050534022,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Caused a breakout, didn't work for me. - Simran, Pune"
Neutrogena,Oil-Free Moisturizer,Moisturizer,50.34265345735738,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
The Inkey List,Salicylic Acid Cleanser,Cleanser,10.464038884060407,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,83.63644003252405,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Lightweight and great for daily use. - Ananya, Chandigarh"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,45.09884455591095,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","A bit expensive, but worth the money. - Sneha, Kolkata"
Glossier,Solution,Exfoliant,12.10085996429827,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Mamaearth,Superfood Antioxidant Cleanser,Cleanser,36.658885094230136,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,31.87384515684816,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Mamaearth,Hydrating Cleanser,Cleanser,16.946551159730042,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Himalaya,Effaclar Duo,Treatment,92.21702817931234,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Feels sticky after applying, but hydrates well. - Arjun, Goa"
The Ordinary,Hyaluronic Acid 2% + B5,Serum,42.416227900209485,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","A bit expensive, but worth the money. - Sneha, Kolkata"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,38.9065910417773,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
CeraVe,Moisturizing Cream,Moisturizer,44.04775796411733,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,57.62547784019825,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Kama Ayurveda,Cicaplast Baume B5,Treatment,58.33719720730856,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Affordable and effective! Would recommend. - Kunal, Jaipur"
Himalaya,AHA 30% + BHA 2% Peeling Solution,Treatment,27.4513782103873,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Himalaya,Oil-Free Moisturizer,Moisturizer,98.186421882745,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","A bit expensive, but worth the money. - Sneha, Kolkata"
The Inkey List,Salicylic Acid Cleanser,Cleanser,92.5795896499888,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,23.5110717760142,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Lotus Herbals,Protini Polypeptide Cream,Moisturizer,46.608572715945925,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","A bit expensive, but worth the money. - Sneha, Kolkata"
Biotique,Solution,Exfoliant,28.22712430963373,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Affordable and effective! Would recommend. - Kunal, Jaipur"
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,46.90339476064713,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Forest Essentials,Niacinamide 10% + Zinc 1%,Serum,30.07170312688904,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
CeraVe,Hydrating Cleanser,Cleanser,37.59223910785165,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Absorbs well but didn't see significant results. - Priya, Bangalore"
La Roche-Posay,Effaclar Duo,Treatment,94.16217057767452,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Kama Ayurveda,Hyaluronic Acid 2% + B5,Serum,80.91837733393461,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Mamaearth,Hydro Boost Gel Cream,Moisturizer,13.526473982748485,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
CeraVe,Moisturizing Cream,Moisturizer,88.4656373821521,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,5.476172931083185,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Affordable and effective! Would recommend. - Kunal, Jaipur"
La Roche-Posay,Cicaplast Baume B5,Treatment,62.84259492863952,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,22.07686584788737,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","A bit expensive, but worth the money. - Sneha, Kolkata"
Mamaearth,Oil-Free Moisturizer,Moisturizer,37.92586428200907,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","A bit expensive, but worth the money. - Sneha, Kolkata"
The Inkey List,Salicylic Acid Cleanser,Cleanser,22.795052952881782,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,39.34573395483268,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Affordable and effective! Would recommend. - Kunal, Jaipur"
Biotique,Protini Polypeptide Cream,Moisturizer,26.08889421835265,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Caused a breakout, didn't work for me. - Simran, Pune"
Glossier,Solution,Exfoliant,33.5067690204495,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Forest Essentials,Superfood Antioxidant Cleanser,Cleanser,17.65593446868794,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Caused a breakout, didn't work for me. - Simran, Pune"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,18.60792931289248,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
CeraVe,Hydrating Cleanser,Cleanser,26.902412660699312,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Affordable and effective! Would recommend. - Kunal, Jaipur"
La Roche-Posay,Effaclar Duo,Treatment,85.10159786386029,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
The Ordinary,Hyaluronic Acid 2% + B5,Serum,5.799574832321532,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Biotique,Hydro Boost Gel Cream,Moisturizer,64.03372893109466,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
CeraVe,Moisturizing Cream,Moisturizer,22.374565111542804,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,26.476395124470432,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Feels sticky after applying, but hydrates well. - Arjun, Goa"
La Roche-Posay,Cicaplast Baume B5,Treatment,96.07092393747448,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Feels sticky after applying, but hydrates well. - Arjun, Goa"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,70.60213274095629,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","A bit expensive, but worth the money. - Sneha, Kolkata"
Neutrogena,Oil-Free Moisturizer,Moisturizer,38.21398249430205,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Affordable and effective! Would recommend. - Kunal, Jaipur"
The Inkey List,Salicylic Acid Cleanser,Cleanser,65.95918075156919,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Affordable and effective! Would recommend. - Kunal, Jaipur"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,44.61888852394236,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Caused a breakout, didn't work for me. - Simran, Pune"
Biotique,Protini Polypeptide Cream,Moisturizer,17.21134457247485,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Glossier,Solution,Exfoliant,32.29752453786355,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","A bit expensive, but worth the money. - Sneha, Kolkata"
Mamaearth,Superfood Antioxidant Cleanser,Cleanser,14.6765293086589,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,21.455064480163497,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Mamaearth,Hydrating Cleanser,Cleanser,50.692178916882845,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Kama Ayurveda,Effaclar Duo,Treatment,98.07509675480696,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
The Ordinary,Hyaluronic Acid 2% + B5,Serum,67.63985117809048,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,71.16485440166909,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Forest Essentials,Moisturizing Cream,Moisturizer,65.58987766124602,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,45.34876125356907,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
La Roche-Posay,Cicaplast Baume B5,Treatment,7.312034397698313,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,15.34234616062928,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Neutrogena,Oil-Free Moisturizer,Moisturizer,40.23277169506494,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
The Inkey List,Salicylic Acid Cleanser,Cleanser,94.1492649059782,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,83.94930450867875,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,86.38084007298826,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Glossier,Solution,Exfoliant,24.039038930287305,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,37.17094618957525,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,26.47878711248611,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Affordable and effective! Would recommend. - Kunal, Jaipur"
CeraVe,Hydrating Cleanser,Cleanser,98.8840059040075,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Himalaya,Effaclar Duo,Treatment,82.42669302913845,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Mamaearth,Hyaluronic Acid 2% + B5,Serum,31.351913067702217,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Lotus Herbals,Hydro Boost Gel Cream,Moisturizer,10.493042657133516,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
CeraVe,Moisturizing Cream,Moisturizer,73.37244808666182,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Himalaya,BHA Liquid Exfoliant,Exfoliant,64.42170026946192,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Lightweight and great for daily use. - Ananya, Chandigarh"
La Roche-Posay,Cicaplast Baume B5,Treatment,54.74230426381546,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Affordable and effective! Would recommend. - Kunal, Jaipur"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,71.20304707790726,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Absorbs well but didn't see significant results. - Priya, Bangalore"
Neutrogena,Oil-Free Moisturizer,Moisturizer,50.16773635167052,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Feels sticky after applying, but hydrates well. - Arjun, Goa"
The Inkey List,Salicylic Acid Cleanser,Cleanser,55.36473084937869,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Kama Ayurveda,Good Genes Lactic Acid Treatment,Treatment,15.21895630135564,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Absorbs well but didn't see significant results. - Priya, Bangalore"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,54.410546907668405,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Absorbs well but didn't see significant results. - Priya, Bangalore"
Biotique,Solution,Exfoliant,24.639606895700176,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Affordable and effective! Would recommend. - Kunal, Jaipur"
Kama Ayurveda,Superfood Antioxidant Cleanser,Cleanser,69.57588501538619,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,77.57237703849387,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Lightweight and great for daily use. - Ananya, Chandigarh"
CeraVe,Hydrating Cleanser,Cleanser,96.57408102788712,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Caused a breakout, didn't work for me. - Simran, Pune"
La Roche-Posay,Effaclar Duo,Treatment,66.68351977264422,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Feels sticky after applying, but hydrates well. - Arjun, Goa"
The Ordinary,Hyaluronic Acid 2% + B5,Serum,92.2185589036654,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Caused a breakout, didn't work for me. - Simran, Pune"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,18.87755176592541,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Affordable and effective! Would recommend. - Kunal, Jaipur"
Mamaearth,Moisturizing Cream,Moisturizer,27.8666910842013,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Affordable and effective! Would recommend. - Kunal, Jaipur"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,27.64234348065182,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
La Roche-Posay,Cicaplast Baume B5,Treatment,78.5403168175554,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","Feels sticky after applying, but hydrates well. - Arjun, Goa"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,86.2163294549821,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Lightweight and great for daily use. - Ananya, Chandigarh"
Biotique,Oil-Free Moisturizer,Moisturizer,14.724495735014775,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
The Inkey List,Salicylic Acid Cleanser,Cleanser,88.01900228374981,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,13.569344714417928,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Feels sticky after applying, but hydrates well. - Arjun, Goa"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,88.89129578519216,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
Glossier,Solution,Exfoliant,79.3529330776263,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,71.43335549859673,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Caused a breakout, didn't work for me. - Simran, Pune"
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,56.31703180396725,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Works wonders on my skin! Hydrating and refreshing. - Aditi, Mumbai"
CeraVe,Hydrating Cleanser,Cleanser,76.6077946510308,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","A bit expensive, but worth the money. - Sneha, Kolkata"
La Roche-Posay,Effaclar Duo,Treatment,68.85718817722997,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Lightweight and great for daily use. - Ananya, Chandigarh"
The Ordinary,Hyaluronic Acid 2% + B5,Serum,80.91633792619601,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Affordable and effective! Would recommend. - Kunal, Jaipur"
Lotus Herbals,Hydro Boost Gel Cream,Moisturizer,36.58249152400322,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","A bit expensive, but worth the money. - Sneha, Kolkata"
Himalaya,Moisturizing Cream,Moisturizer,77.25763873022939,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","A bit expensive, but worth the money. - Sneha, Kolkata"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,18.75600056284285,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Absorbs well but didn't see significant results. - Priya, Bangalore"
